payment_type;reference;bank_amount;payment_date;gl_account;note
VAT;VAT-FILED-2024-Q1;-35226.14;30-4-2024;1870;
VAT;VAT-FILED-2024-Q2;-38445.2;31-7-2024;1870;
VAT;VAT-FILED-2024-Q3;-33867.54;31-10-2024;1870;
Wage tax;WAGE-FILED-FY2024;-77203.15;31-12-2024;1900;
VAT;VAT-FILED-2024-Q4;-37885.28;31-1-2025;1870;
VAT;VAT-FILED-2025-Q1;-35161.61;30-4-2025;1870;
VAT;VAT-FILED-2025-Q2;-40521.86;31-7-2025;1870;
VAT;VAT-FILED-2025-Q3;-34903.26;31-10-2025;1870;
VAT;VAT-FILED-2025-Q4;-38536.44;31-12-2025;1870;
CIT;CIT-FILED-2024;-96365.31;31-5-2025;1880;
CIT;CIT-PROV-2025;-102433.06;20-12-2025;1880;
Wage tax;WAGE-FILED-FY2025;-80209.53;31-12-2025;1900;
